"Supplemental Table S1. Coordinates, sizes, GC levels and GC standard deviations,",,,,,,,
"of the human isochores identified in this study.",,,,,,,
,,,,,,,
,,,,,,,
"Chr","Band","Start","End","Size (Mb)","GC, %","∆ GC","SD (w=100kb)"
2,"q22.3a",145.3,147.6,2.3,35.7,2.6,0.75
2,"q22.3b",147.6,148.4,0.8,38.3,-2.6,1.13
2,"q22.3c",148.4,149.1,0.7,36.2,2.1,0.68
2,"q23.1a",149.1,149.7,0.6,41.2,-5.0,2.70
2,"q23.1b",149.7,150.2,0.5,40.1,1.1,0.45
2,"q23.2",150.2,150.8,0.6,37.4,2.7,0.41
2,"q23.3a",150.8,152.6,1.8,38.8,-1.4,0.94
2,"q23.3b",152.6,152.8,0.2,42.3,-3.5,0.00
2,"q23.3c",152.8,154.2,1.4,38.7,3.6,1.28
2,"q24.1a",154.2,157,2.8,35.3,3.4,0.98
2,"q24.1b",157,157.4,0.4,38.7,-3.5,2.49
2,"q24.1c",157.4,157.8,0.4,36.1,2.6,0.90
2,"q24.1d",157.8,159.3,1.5,38.4,-2.3,1.38
2,"q24.2a",159.3,159.9,0.6,42.9,-4.5,1.33
2,"q24.2b",159.9,162,2.1,38.4,4.5,1.45
2,"q24.3a",162,162.7,0.7,36.1,2.3,1.35
2,"q24.3b",162.7,162.9,0.2,38.7,-2.6,0.00
2,"q24.3c",162.9,166.3,3.4,36.0,2.7,0.69
2,"q24.3d",166.3,166.5,0.2,38.1,-2.1,0.00
2,"q24.3e",166.5,168.3,1.8,36.0,2.1,0.80
2,"q31.1a",168.3,171.1,2.8,39.3,-3.3,1.37
2,"q31.1b",171.1,172.7,1.6,40.4,-1.2,1.85
2,"q31.1c",172.7,173.4,0.7,42.4,-2.0,1.06
2,"q31.1d",173.4,173.9,0.5,39.9,2.5,1.28
2,"q31.1e",173.9,174.2,0.3,41.9,-2.0,0.20
2,"q31.1f",174.2,175,0.8,40.0,1.9,1.81
2,"q31.1g",175,175.5,0.5,42.0,-2.0,1.61
2,"q31.1h",175.5,180.6,5.1,38.8,3.2,2.14
2,"q31.2",180.6,182.3,1.7,36.2,2.6,0.46
2,"q31.3a",182.3,182.5,0.2,38.9,-2.7,0.00
2,"q31.3b",182.5,183.2,0.7,36.5,2.4,0.39
2,"q31.3c",183.2,184.2,1,37.6,-1.1,1.07
2,"q32.1a",184.2,187.1,2.9,34.8,2.8,1.02
2,"q32.1b",187.1,187.7,0.6,37.7,-2.9,1.74
2,"q32.1c",187.7,190.1,2.4,35.4,2.2,0.97
2,"q32.2",190.1,192.6,2.5,38.8,-3.3,1.13
2,"q32.3",192.6,196,3.4,34.5,4.2,1.16
2,"q33.1a",196,199,3,38.9,-4.4,1.69
2,"q33.1b",199,199.8,0.8,35.7,3.2,0.39
2,"q33.1c",199.8,201.3,1.5,39.4,-3.7,1.05
2,"q33.1d",201.3,201.6,0.3,42.4,-3.0,0.56
2,"q33.1e",201.6,202.5,0.9,40.2,2.2,2.09
2,"q33.1f",202.5,203.2,0.7,43.3,-3.1,1.70
2,"q33.1g",203.2,204.2,1,39.6,3.7,1.26
2,"q33.1h",204.2,204.4,0.2,41.9,-2.3,0.00
2,"q33.1i",204.4,205.3,0.9,40.3,1.6,0.82
2,"q33.2a",205.3,205.6,0.3,36.6,3.7,0.20
2,"q33.2b",205.6,206.3,0.7,37.8,-1.2,1.14
2,"q33.3a",206.3,207,0.7,43.2,-5.4,1.53
2,"q33.3b",207,208.3,1.3,39.8,3.4,1.23
2,"q33.3c",208.3,208.9,0.6,42.8,-3.0,1.30
2,"q34a",208.9,209.6,0.7,37.9,4.8,1.55
2,"q34b",209.6,210.4,0.8,36.2,1.8,0.57
2,"q34c",210.4,210.7,0.3,37.8,-1.6,0.52
2,"q34d",210.7,210.9,0.2,36.6,1.2,0.00
2,"q34e",210.9,211.2,0.3,38.1,-1.5,0.55
2,"q34f",211.2,213.4,2.2,35.3,2.9,1.08
2,"q34g",213.4,213.6,0.2,37.8,-2.6,0.00
2,"q34h",213.6,215.2,1.6,35.9,1.9,0.73
2,"q34i",215.2,216.6,1.4,38.8,-2.9,1.30
2,"q35a",216.6,218.5,1.9,43.1,-4.3,2.38
2,"q35b",218.5,218.7,0.2,52.5,-9.3,0.00
2,"q35c",218.7,220.1,1.4,47.5,5.0,3.32
2,"q35d",220.1,220.4,0.3,52.7,-5.3,4.13
2,"q35e",220.4,220.9,0.5,42.0,10.7,0.79
2,"q36.1",220.9,224.4,3.5,39.2,2.8,1.34
2,"q36.2",224.4,225.4,1,41.4,-2.2,1.55
2,"q36.3a",225.4,228.1,2.7,38.5,2.9,1.68
2,"q36.3b",228.1,228.6,0.5,41.2,-2.7,1.90
2,"q36.3c",228.6,230.2,1.6,38.4,2.8,1.15
2,"q37.1a",230.2,230.4,0.2,41.5,-3.1,0.00
2,"q37.1b",230.4,230.6,0.2,39.4,2.1,0.00
2,"q37.1c",230.6,231,0.4,42.2,-2.8,0.96
2,"q37.1d",231,231.2,0.2,40.3,1.9,0.00
2,"q37.1e",231.2,231.7,0.5,45.1,-4.9,3.64
2,"q37.1f",231.7,232,0.3,42.9,2.3,1.42
2,"q37.1g",232,232.3,0.3,48.8,-5.9,1.82
2,"q37.1h",232.3,232.7,0.4,47.3,1.5,4.28
2,"q37.1i",232.7,232.9,0.2,39.7,7.6,0.00
2,"q37.1l",232.9,233.2,0.3,51.0,-11.3,5.33
2,"q37.1m",233.2,234.2,1,46.8,4.2,3.24
2,"q37.1n",234.2,234.4,0.2,38.9,7.8,0.00
2,"q37.1o",234.4,234.8,0.4,43.6,-4.7,1.95
2,"q37.2a",234.8,235.6,0.8,44.0,-0.4,1.14
2,"q37.2b",235.6,235.8,0.2,47.7,-3.6,0.00
2,"q37.2c",235.8,236.2,0.4,44.7,3.0,1.46
2,"q37.2d",236.2,237.4,1.2,46.5,-1.8,2.22
2,"q37.2e",237.4,238.1,0.7,44.1,2.4,1.18
2,"q37.3a",238.1,238.4,0.3,49.4,-5.3,2.19
2,"q37.3b",238.4,238.6,0.2,44.5,4.9,0.00
2,"q37.3c",238.6,239.3,0.7,48.8,-4.3,2.73
2,"q37.3d",239.3,239.5,0.2,44.5,4.3,0.00
2,"q37.3e",239.5,241,1.5,49.4,-4.9,2.45
2,"q37.3f",241,241.9,0.9,54.5,-5.1,2.07
2,"q37.3g",241.9,242.2,0.3,46.1,8.4,4.28
2,"q37.3h",242.2,242.6,0.4,53.1,-7.0,1.28
2,"q37.3i",242.6,242.9,0.3,44.7,8.3,5.02
,,,,,,,
3,"p26.3a",0,0.5,0.5,37.5,"-",0.58
3,"p26.3b",0.5,0.8,0.3,35.6,1.9,0.60
3,"p26.3c",0.8,1,0.2,37.6,-2.0,0.00
3,"p26.3d",1,2.4,1.4,36.7,0.9,1.06
3,"p26.3e",2.4,4.4,2,39.0,-2.3,1.03
3,"p26.2",4.4,5.4,1,42.5,-3.5,1.66
3,"p26.1",5.4,8.4,3,38.2,4.4,1.10
3,"p25.3a",8.4,9,0.6,43.6,-5.4,2.74
3,"p25.3b",9,9.2,0.2,46.4,-2.8,0.00
3,"p25.3c",9.2,9.5,0.3,42.3,4.0,2.78
3,"p25.3d",9.5,11.2,1.7,47.9,-5.6,2.03
3,"p25.3e",11.2,12,0.8,44.0,3.9,2.33
3,"p25.2",12,12.4,0.4,40.1,3.9,1.54
3,"p25.1a",12.4,12.7,0.3,43.9,-3.8,0.16
3,"p25.1b",12.7,12.9,0.2,49.0,-5.0,0.00
3,"p25.1c",12.9,13.9,1,51.9,-2.9,2.46
3,"p25.1d",13.9,14.3,0.4,43.2,8.7,2.50
3,"p25.1e",14.3,14.9,0.6,49.2,-6.0,3.40
3,"p25.1f",14.9,15.6,0.7,43.8,5.4,1.42
3,"p25.1g",15.6,15.9,0.3,38.6,5.2,1.84
3,"p25.1h",15.9,16.6,0.7,42.6,-4.0,1.19
3,"p24.3a",16.6,17.3,0.7,39.7,2.8,2.00
3,"p24.3b",17.3,17.7,0.4,36.0,3.8,0.68
3,"p24.3c",17.7,18.3,0.6,38.9,-3.0,1.09
3,"p24.3d",18.3,18.6,0.3,36.5,2.4,0.53
3,"p24.3e",18.6,19.2,0.6,37.2,-0.7,0.48
3,"p24.3f",19.2,19.5,0.3,35.8,1.4,0.50
3,"p24.3g",19.5,20.5,1,38.8,-3.0,1.22
3,"p24.3h",20.5,21.2,0.7,36.4,2.3,0.68
3,"p24.3i",21.2,21.8,0.6,37.1,-0.7,0.67
3,"p24.3l",21.8,22.6,0.8,36.0,1.1,0.68
3,"p24.2a",22.6,23.6,1,38.1,-2.0,0.75
3,"p24.2b",23.6,24,0.4,42.4,-4.4,1.12
3,"p24.1",24,27.5,3.5,38.4,4.0,1.27
3,"p23",27.5,27.7,0.2,42.9,-4.5,0.00
3,"p22.3a",27.7,28.3,0.6,38.3,4.5,1.46
3,"p22.3b",28.3,28.5,0.2,35.8,2.6,0.00
3,"p22.3c",28.5,29.4,0.9,37.3,-1.6,0.89
3,"p22.3d",29.4,30,0.6,36.2,1.1,0.67
3,"p22.3e",30,31.7,1.7,38.6,-2.4,1.09
3,"p22.2",31.7,33.2,1.5,43.2,-4.5,1.50
3,"p22.1a",33.2,33.9,0.7,38.8,4.4,1.96
3,"p22.1b",33.9,34.1,0.2,41.7,-2.9,0.00
3,"p22.1c",34.1,34.9,0.8,38.1,3.5,1.40
3,"p22.1d",34.9,36.1,1.2,36.1,2.0,0.64
3,"p22.1e",36.1,36.7,0.6,38.5,-2.4,1.15
3,"p21.33a",36.7,37,0.3,42.8,-4.3,0.81
3,"p21.33b",37,37.2,0.2,39.6,3.2,0.00
3,"p21.33c",37.2,38,0.8,43.0,-3.4,2.28
3,"p21.33d",38,38.2,0.2,48.9,-5.8,0.00
3,"p21.33e",38.2,38.8,0.6,44.5,4.4,2.79
3,"p21.33f",38.8,39.1,0.3,40.6,3.9,0.36
3,"p21.33g",39.1,39.5,0.4,44.8,-4.1,2.93
3,"p21.32a",39.5,40.1,0.6,39.4,5.4,1.26
3,"p21.32b",40.1,40.8,0.7,42.0,-2.6,0.97
3,"p21.32c",40.8,41,0.2,40.7,1.2,0.00
3,"p21.32d",41,41.4,0.4,41.8,-1.0,1.42
3,"p21.32e",41.4,41.9,0.5,38.6,3.2,0.65
3,"p21.32f",41.9,43.4,1.5,44.2,-5.6,2.20
3,"p21.32g",43.4,43.7,0.3,40.0,4.2,0.55
3,"p21.32h",43.7,44.2,0.5,43.4,-3.4,0.78
3,"p21.32i",44.2,44.4,0.2,38.6,4.8,0.00
3,"p21.32l",44.4,45.9,1.5,44.0,-5.4,2.12
3,"p21.31a",45.9,46.6,0.7,43.7,0.3,2.11
3,"p21.31b",46.6,47.1,0.5,48.2,-4.5,2.43
3,"p21.31c",47.1,47.4,0.3,44.3,3.9,2.86
3,"p21.31d",47.4,47.6,0.2,48.7,-4.4,0.00
3,"p21.31e",47.6,48.5,0.9,45.3,3.4,3.82
3,"p21.31f",48.5,48.7,0.2,54.5,-9.3,0.00
3,"p21.31g",48.7,49,0.3,45.6,8.9,0.38
3,"p21.31h",49,50.1,1.1,49.1,-3.5,2.79
3,"p21.31i",50.1,50.7,0.6,54.9,-5.8,2.39
3,"p21.31l",50.7,51.2,0.5,39.0,15.9,1.00
3,"p21.31m",51.2,53.3,2.1,47.8,-8.8,4.68
3,"p21.2a",53.3,53.7,0.4,42.4,5.4,1.03
3,"p21.2b",53.7,53.9,0.2,46.9,-4.6,0.00
3,"p21.2c",53.9,55,1.1,42.3,4.6,1.32
3,"p21.2d",55,55.3,0.3,40.2,2.1,0.43
3,"p21.2e",55.3,55.8,0.5,42.8,-2.5,1.44
3,"p21.2f",55.8,56.7,0.9,39.7,3.1,0.98
3,"p21.2g",56.7,57,0.3,42.7,-3.0,0.54
3,"p21.2h",57,57.2,0.2,45.7,-3.0,0.00
3,"p21.2i",57.2,57.5,0.3,38.9,6.8,0.13
3,"p21.2l",57.5,57.7,0.2,41.6,-2.7,0.00
3,"p21.2m",57.7,57.9,0.2,39.5,2.1,0.00
3,"p21.1",57.9,58.7,0.8,46.1,-6.6,1.71
3,"p14.3a",58.7,59.6,0.9,39.3,6.8,1.29
3,"p14.3b",59.6,59.8,0.2,41.7,-2.4,0.00
3,"p14.3c",59.8,61.5,1.7,38.9,2.8,0.81
3,"p14.3d",61.5,61.7,0.2,42.5,-3.6,0.00
3,"p14.3e",61.7,65.8,4.1,40.0,2.5,1.26
3,"p14.2a",65.8,66.3,0.5,41.9,-1.9,0.65
3,"p14.2b",66.3,66.5,0.2,38.8,3.1,0.00
3,"p14.2c",66.5,67,0.5,42.6,-3.8,2.49
3,"p14.1a",67,69.3,2.3,38.8,3.8,0.93
3,"p14.1b",69.3,69.6,0.3,41.4,-2.6,0.33
3,"p14.1c",69.6,70.4,0.8,38.9,2.5,1.31
3,"p14.1d",70.4,70.6,0.2,36.5,2.4,0.00
3,"p14.1e",70.6,71.2,0.6,38.2,-1.7,1.26
3,"p13",71.2,73.8,2.6,42.7,-4.5,2.12
3,"p12.3a",73.8,74.8,1,37.8,5.0,0.93
3,"p12.3b",74.8,75.1,0.3,36.2,1.5,0.46
3,"p12.3c",75.1,75.4,0.3,37.3,-1.1,0.32
3,"p12.2",75.4,75.8,0.4,45.5,-8.2,2.25
3,"p12.1a",75.8,76,0.2,40.2,5.3,0.00
3,"p12.1b",76,90,14,35.3,4.9,1.13
3,"p11.2",90,90.6,0.6,36.9,-1.6,0.78
3,"q11.2a",94.9,95.5,0.6,37.7,"-",0.94
3,"q11.2b",95.5,99.1,3.6,35.2,2.5,0.89
3,"q12.1a",99.1,100.4,1.3,37.8,-2.6,1.07
3,"q12.1b",100.4,100.7,0.3,36.7,1.1,0.15
3,"q12.1c",100.7,101.6,0.9,38.9,-2.1,0.63
3,"q12.2",101.6,102.7,1.1,38.1,0.8,1.50
3,"q12.3a",102.7,102.9,0.2,42.4,-4.3,0.00
3,"q12.3b",102.9,103.5,0.6,38.9,3.5,1.11
3,"q13.11a",103.5,103.8,0.3,36.0,2.9,0.45
3,"q13.11b",103.8,104,0.2,37.3,-1.3,0.00
3,"q13.11c",104,108.1,4.1,35.5,1.8,1.00
3,"q13.12a",108.1,108.8,0.7,38.1,-2.6,0.89
3,"q13.12b",108.8,109,0.2,36.7,1.4,0.00
3,"q13.12c",109,109.7,0.7,39.5,-2.9,1.02
3,"q13.12d",109.7,109.9,0.2,35.8,3.7,0.00
3,"q13.12e",109.9,111,1.1,38.9,-3.1,1.87
3,"q13.13",111,112.1,1.1,35.9,3.0,0.78
3,"q13.2a",112.1,114.3,2.2,38.5,-2.6,1.55
3,"q13.2b",114.3,114.5,0.2,43.4,-5.0,0.00
3,"q13.2c",114.5,115.7,1.2,39.5,3.9,1.19
3,"q13.31a",115.7,116.4,0.7,35.6,3.9,1.21
3,"q13.31b",116.4,118.4,2,37.6,-2.0,0.90
3,"q13.31c",118.4,118.8,0.4,36.7,0.8,0.17
3,"q13.31d",118.8,119,0.2,37.5,-0.8,0.00
3,"q13.31e",119,119.7,0.7,36.1,1.4,0.55
3,"q13.32a",119.7,120.4,0.7,39.1,-3.0,1.05
3,"q13.32b",120.4,120.9,0.5,42.1,-3.0,0.90
3,"q13.33a",120.9,121.3,0.4,38.5,3.6,1.33
3,"q13.33b",121.3,121.7,0.4,41.8,-3.3,1.83
3,"q13.33c",121.7,122.7,1,37.8,4.0,1.93
3,"q13.33d",122.7,122.9,0.2,41.7,-3.9,0.00
3,"q13.33e",122.9,124.1,1.2,39.6,2.0,1.60
3,"q21.1",124.1,125,0.9,46.3,-6.7,3.54
3,"q21.2a",125,126.4,1.4,43.3,3.1,1.91
3,"q21.2b",126.4,126.8,0.4,39.9,3.4,1.53
3,"q21.3a",126.8,128.1,1.3,46.2,-6.4,2.61
3,"q21.3b",128.1,128.3,0.2,54.2,-8.0,0.00
3,"q21.3c",128.3,129,0.7,48.5,5.7,1.74
3,"q21.3d",129,129.5,0.5,44.1,4.5,1.93
3,"q21.3e",129.5,130.9,1.4,49.1,-5.1,3.59
3,"q21.3f",130.9,131.1,0.2,39.4,9.8,0.00
3,"q21.3g",131.1,131.4,0.3,47.2,-7.8,0.30
3,"q22.1",131.4,134.5,3.1,38.9,8.3,1.12
3,"q22.2a",134.5,135,0.5,42.7,-3.8,2.06
3,"q22.2b",135,135.3,0.3,46.7,-4.1,0.71
3,"q22.2c",135.3,135.5,0.2,39.9,6.9,0.00
3,"q22.2d",135.5,135.9,0.4,44.4,-4.5,4.52
3,"q22.2e",135.9,136.6,0.7,43.7,0.7,1.71
3,"q22.3a",136.6,139.2,2.6,40.2,3.5,1.53
3,"q22.3b",139.2,139.5,0.3,41.4,-1.2,2.16
3,"q22.3c",139.5,139.7,0.2,46.5,-5.1,0.00
3,"q22.3d",139.7,140,0.3,40.0,6.5,0.18
3,"q23a",140,143.2,3.2,42.4,-2.4,2.14
3,"q23b",143.2,144.1,0.9,38.6,3.8,1.56
3,"q23c",144.1,144.5,0.4,41.4,-2.8,1.25
3,"q24a",144.5,145.4,0.9,38.5,2.9,1.27
3,"q24b",145.4,149.9,4.5,35.7,2.8,1.31
3,"q25.1a",149.9,151.9,2,39.1,-3.4,1.40
3,"q25.1b",151.9,152.3,0.4,42.0,-2.9,1.47
3,"q25.2a",152.3,152.9,0.6,38.3,3.8,1.05
3,"q25.2b",152.9,153.7,0.8,36.2,2.0,0.80
3,"q25.2c",153.7,155.6,1.9,37.8,-1.6,1.28
3,"q25.2d",155.6,156.1,0.5,36.4,1.4,0.44
3,"q25.31a",156.1,156.9,0.8,38.6,-2.2,0.84
3,"q25.31b",156.9,157.1,0.2,41.1,-2.5,0.00
3,"q25.31c",157.1,158.9,1.8,39.4,1.7,1.51
3,"q25.32a",158.9,159.3,0.4,38.2,1.2,0.60
3,"q25.32b",159.3,159.7,0.4,35.6,2.6,1.09
3,"q25.32c",159.7,159.9,0.2,37.7,-2.1,0.00
3,"q25.33",159.9,162.8,2.9,39.2,-1.5,1.86
3,"q26.1a",162.8,169.2,6.4,35.1,4.1,1.13
3,"q26.1b",169.2,169.5,0.3,37.8,-2.7,0.40
3,"q26.1c",169.5,170.6,1.1,36.1,1.7,0.51
3,"q26.2a",170.6,171.5,0.9,39.8,-3.6,1.52
3,"q26.2b",171.5,171.9,0.4,42.1,-2.3,0.92
3,"q26.2c",171.9,174.5,2.6,39.2,2.9,1.34
3,"q26.31a",174.5,177.7,3.2,35.5,3.8,0.75
3,"q26.31b",177.7,178,0.3,37.5,-2.0,0.45
3,"q26.32a",178,178.4,0.4,39.1,-1.6,1.64
3,"q26.32b",178.4,178.7,0.3,42.6,-3.5,1.64
3,"q26.32c",178.7,179.1,0.4,39.8,2.8,0.90
3,"q26.33a",179.1,179.6,0.5,36.2,3.6,0.79
3,"q26.33b",179.6,180.8,1.2,38.8,-2.7,0.98
3,"q26.33c",180.8,181,0.2,42.2,-3.4,0.00
3,"q26.33d",181,181.5,0.5,37.9,4.4,0.55
3,"q26.33e",181.5,181.7,0.2,36.7,1.1,0.00
3,"q26.33f",181.7,182.5,0.8,37.7,-1.0,0.82
3,"q26.33g",182.5,182.8,0.3,36.6,1.2,0.28
3,"q26.33h",182.8,183.1,0.3,40.4,-3.9,2.33
3,"q26.33i",183.1,183.9,0.8,38.3,2.2,0.78
3,"q27.1a",183.9,185.3,1.4,42.5,-4.3,2.84
3,"q27.1b",185.3,186,0.7,49.5,-7.0,2.35
3,"q27.2",186,186.6,0.6,39.8,9.7,1.87
3,"q27.3a",186.6,188.6,2,43.2,-3.4,1.30
3,"q27.3b",188.6,188.8,0.2,39.5,3.7,0.00
3,"q27.3c",188.8,189.5,0.7,42.1,-2.6,0.80
3,"q28a",189.5,191.8,2.3,38.2,3.9,1.25
3,"q28b",191.8,193.6,1.8,36.7,1.5,0.72
3,"q28c",193.6,194,0.4,38.2,-1.5,0.57
3,"q28d",194,194.2,0.2,41.9,-3.7,0.00
3,"q28e",194.2,194.9,0.7,38.7,3.2,1.21
3,"q29a",194.9,195.2,0.3,44.4,-5.7,0.80
3,"q29b",195.2,196.4,1.2,46.7,-2.4,2.94
3,"q29c",196.4,196.8,0.4,41.9,4.8,3.21
3,"q29d",196.8,198.6,1.8,45.4,-3.5,4.48
3,"q29e",198.6,198.9,0.3,48.4,-2.9,1.50
3,"q29f",198.9,199.5,0.6,42.9,5.4,2.01
,,,,,,,
4,"p16.3a",0,0.5,0.5,41.0,"-",1.39
4,"p16.3b",0.5,4.3,3.8,51.9,-10.9,4.65
4,"p16.2",4.3,5.8,1.5,44.6,7.4,2.53
4,"p16.1a",5.8,9,3.2,51.1,-6.5,2.98
4,"p16.1b",9,10.3,1.3,44.8,6.3,2.18
4,"p15.33a",10.3,11.6,1.3,39.3,5.5,1.27
4,"p15.33b",11.6,12,0.4,36.5,2.8,0.29
4,"p15.33c",12,15.4,3.4,39.0,-2.5,1.63
4,"p15.32a",15.4,15.8,0.4,42.4,-3.4,1.22
4,"p15.32b",15.8,17,1.2,40.3,2.2,0.34
4,"p15.32c",17,17.5,0.5,43.0,-2.8,1.53
4,"p15.31a",17.5,18.8,1.3,37.3,5.7,1.11
4,"p15.31b",18.8,20.3,1.5,36.3,1.1,0.71
4,"p15.31c",20.3,22.9,2.6,38.1,-1.8,0.83
4,"p15.31d",22.9,23.2,0.3,36.2,1.8,0.84
4,"p15.2",23.2,27.1,3.9,41.1,-4.9,2.69
4,"p15.1",27.1,37.2,10.1,35.2,5.9,1.10
4,"p14a",37.2,38.8,1.6,41.9,-6.7,1.05
4,"p14b",38.8,39.2,0.4,39.0,2.9,0.55
4,"p14c",39.2,42.2,3,41.9,-2.9,1.73
4,"p13a",42.2,43,0.8,38.0,3.9,1.13
4,"p13b",43,47.2,4.2,35.7,2.2,0.79
4,"p12a",47.2,49,1.8,38.9,-3.1,1.45
4,"p12b",49,49.6,0.6,43.5,-4.7,3.44
4,"q12a",52.5,53.3,0.8,40.1,"-",0.61
4,"q12b",53.3,53.7,0.4,42.2,-2.1,1.33
4,"q12c",53.7,54.8,1.1,39.8,2.4,1.81
4,"q12d",54.8,55.1,0.3,43.2,-3.4,1.00
4,"q12e",55.1,57.3,2.2,39.9,3.3,1.30
4,"q12f",57.3,58,0.7,43.1,-3.3,1.47
4,"q12g",58,58.5,0.5,38.6,4.5,0.86
4,"q13.1",58.5,67.9,9.4,35.0,3.7,1.03
4,"q13.2a",67.9,68.7,0.8,37.4,-2.5,1.08
4,"q13.2b",68.7,69,0.3,36.7,0.8,0.48
4,"q13.2c",69,69.6,0.6,37.6,-0.9,1.56
4,"q13.3a",69.6,71.4,1.8,35.4,2.2,0.99
4,"q13.3b",71.4,72,0.6,38.2,-2.8,1.21
4,"q13.3c",72,72.2,0.2,41.5,-3.3,0.00
4,"q13.3d",72.2,73,0.8,38.0,3.5,1.10
4,"q13.3e",73,73.8,0.8,36.2,1.8,0.40
4,"q13.3f",73.8,75.4,1.6,37.6,-1.4,1.10
4,"q13.3g",75.4,75.9,0.5,36.7,1.0,0.61
4,"q13.3h",75.9,76.9,1,39.0,-2.3,1.07
4,"q21.1a",76.9,77.3,0.4,41.0,-2.1,2.13
4,"q21.1b",77.3,77.8,0.5,40.0,1.0,0.86
4,"q21.1c",77.8,78.2,0.4,41.7,-1.6,0.42
4,"q21.1d",78.2,78.4,0.2,40.6,1.1,0.00
4,"q21.1e",78.4,78.8,0.4,42.6,-2.0,1.05
4,"q21.21a",78.8,80.6,1.8,38.5,4.0,1.73
4,"q21.21b",80.6,81.4,0.8,35.7,2.8,0.82
4,"q21.21c",81.4,81.7,0.3,38.3,-2.5,1.37
4,"q21.21d",81.7,82.3,0.6,35.6,2.7,0.84
4,"q21.21e",82.3,83.6,1.3,38.8,-3.2,0.86
4,"q21.22a",83.6,84.1,0.5,42.7,-3.9,1.17
4,"q21.22b",84.1,84.3,0.2,39.0,3.7,0.00
4,"q21.22c",84.3,84.7,0.4,41.7,-2.7,0.92
4,"q21.23",84.7,88.1,3.4,37.7,4.0,1.28
4,"q21.3a",88.1,88.3,0.2,42.2,-4.6,0.00
4,"q21.3b",88.3,89.4,1.1,39.4,2.8,0.89
4,"q21.3c",89.4,89.6,0.2,41.6,-2.2,0.00
4,"q21.3d",89.6,90.9,1.3,38.6,2.9,1.20
4,"q22.1",90.9,95,4.1,35.2,3.5,0.94
4,"q22.2",95,96.6,1.6,37.5,-2.4,1.23
4,"q22.3",96.6,99.7,3.1,35.8,1.7,0.86
4,"q23a",99.7,99.9,0.2,41.8,-5.9,0.00
4,"q23b",99.9,101.6,1.7,38.8,3.0,1.38
4,"q24a",101.6,102.1,0.5,36.1,2.7,0.83
4,"q24b",102.1,102.3,0.2,37.5,-1.4,0.00
4,"q24c",102.3,102.8,0.5,36.3,1.2,1.39
4,"q24d",102.8,103,0.2,37.1,-0.8,0.00
4,"q24e",103,103.4,0.4,35.6,1.5,0.63
4,"q24f",103.4,104.8,1.4,38.1,-2.4,0.95
4,"q24g",104.8,106.2,1.4,35.6,2.4,0.91
4,"q24h",106.2,106.8,0.6,37.2,-1.6,0.30
4,"q24i",106.8,107.1,0.3,36.1,1.1,0.66
4,"q24l",107.1,107.4,0.3,38.2,-2.1,0.30
4,"q24m",107.4,107.7,0.3,35.4,2.8,0.70
4,"q24n",107.7,107.9,0.2,37.6,-2.2,0.00
4,"q24o",107.9,108.6,0.7,35.8,1.7,0.85
4,"q25a",108.6,110.1,1.5,39.5,-3.7,1.38
4,"q25b",110.1,110.5,0.4,37.0,2.5,0.72
4,"q25c",110.5,112,1.5,39.6,-2.6,1.16
4,"q25d",112,113.2,1.2,35.6,4.0,0.71
4,"q25e",113.2,114.3,1.1,39.1,-3.4,1.64
4,"q26a",114.3,119.6,5.3,35.3,3.8,1.27
4,"q26b",119.6,121.1,1.5,38.5,-3.2,1.52
4,"q26c",121.1,122,0.9,36.3,2.2,0.41
4,"q27a",122,123.4,1.4,38.1,-1.8,0.95
4,"q27b",123.4,123.8,0.4,35.9,2.2,0.77
4,"q27c",123.8,125.1,1.3,38.7,-2.8,1.41
4,"q28.1",125.1,128.6,3.5,35.7,3.0,1.00
4,"q28.2a",128.6,129.3,0.7,37.9,-2.2,0.95
4,"q28.2b",129.3,130.7,1.4,39.3,-1.4,2.46
4,"q28.3",130.7,140.1,9.4,35.1,4.2,1.80
4,"q31.1a",140.1,141.2,1.1,41.8,-6.7,1.42
4,"q31.1b",141.2,142,0.8,40.1,1.7,2.00
4,"q31.1c",142,142.7,0.7,38.9,1.3,1.27
4,"q31.21a",142.7,144.1,1.4,36.6,2.3,0.49
4,"q31.21b",144.1,147,2.9,38.1,-1.5,1.19
4,"q31.22a",147,147.2,0.2,41.2,-3.2,0.00
4,"q31.22b",147.2,149.5,2.3,39.0,2.3,1.79
4,"q31.23a",149.5,150.5,1,37.5,1.4,0.55
4,"q31.23b",150.5,151.2,0.7,35.9,1.7,0.66
4,"q31.23c",151.2,151.6,0.4,39.4,-3.5,1.13
4,"q31.23d",151.6,152.3,0.7,36.2,3.1,1.67
4,"q31.3a",152.3,152.7,0.4,41.5,-5.3,1.43
4,"q31.3b",152.7,152.9,0.2,39.1,2.5,0.00
4,"q31.3c",152.9,153.6,0.7,42.5,-3.5,0.87
4,"q31.3d",153.6,153.8,0.2,35.1,7.4,0.00
4,"q31.3e",153.8,154,0.2,41.9,-6.7,0.00
4,"q31.3f",154,154.2,0.2,38.6,3.2,0.00
4,"q31.3g",154.2,155.1,0.9,42.2,-3.5,1.96
4,"q32.1a",155.1,156.4,1.3,38.6,3.6,1.21
4,"q32.1b",156.4,156.6,0.2,35.9,2.7,0.00
4,"q32.1c",156.6,157.3,0.7,37.3,-1.4,0.46
